Temperature,HeatIndex,WindSpeed,CloudCover,RelativeHumidity,Maximum Temperature,Minimum Temperature,Wind Direction,AQI
29.3,40.6,18.5,70.3,73.97,34,25.9,244.63,0
30.1,41.9,17.2,64.9,72.06,35,27.9,240.88,1
27.4,40.7,13,85.9,85.86,33,24,212.91,0
29.3,39.3,11.4,61.8,77.39,34,25.9,234,0
29.8,39.3,13,60,69.61,34,26,241.45,0
27.9,39.3,12.8,70.7,83.55,34,24,197.95,0
27.8,47.4,8.1,55.6,93.14,33.6,24,201.5,0
30,44.2,12.2,57.1,80.23,35,26,202.17,0
30.6,41.9,18.3,42.9,77.53,35,27,205.45,1
29.2,40.6,15,45,85.48,35,26.9,214.73,0
29.7,43.5,17.2,64.7,81.63,35,26,223,0
30.4,43.5,12.8,54.8,81.26,35,26,227.5,0
30.2,43.5,14,64.2,81.25,36,26.8,253.18,0
28.1,44.3,11.4,68.6,93.68,34,25,221.35,1
28.5,43.8,13.9,59.6,86.45,34,25,218.95,0
29.6,40.5,13.9,60.3,78.76,34,26,232.4,0
31.3,42.3,12.8,54.4,71.41,36,27,249.3,0
30.5,43.2,10.3,58,77.73,36,27,246.68,1
29.8,42.1,12.8,77,82,34,27,214.61,0
28.1,42,15,79,85.77,32,26.8,205.85,0
28,40.3,11.4,74.8,84.5,32.8,26,231.25,0
28.8,38.1,6.9,47.7,79.34,33,24,196.47,0
28.8,40.6,16.1,58.3,79.4,34,25,239.29,0
27.3,37.9,10.3,63.5,84.34,32,25,213.38,0
26.5,39.2,16.1,84,90.18,32,24,208.47,0
28.2,37.8,9.2,71,81.8,32,25,183.94,0
27.8,37.9,16.1,78.7,84.47,33,25,236.25,0
27,35.1,12.4,80.7,86.03,30,25,239.68,0
26.1,37.1,8.1,75,91.69,29.9,24,125.08,0
28.3,38.1,11.4,66.4,77.94,33,25,217.05,0
26.6,38.9,18.3,76.8,90.73,30.9,25,222.74,0
26.4,39.1,19.7,82.4,91.08,31,24,248.55,1
27.1,35.1,12.8,84.6,84.73,30,24.9,242.38,0
27.8,36.5,24.2,58.8,76.04,31,25,240.35,0
28.7,38.1,12.2,60.6,75.33,33,25,224.25,0
28.6,40.6,11.4,45.5,76.08,33,24,269.2,0
28.3,39.3,9.2,66,79.16,34,25,229,1
29.4,40.6,9.2,52.5,76,34,25,277.16,1
30.1,41.9,10.3,48.6,75.97,35,24,255.91,0
28.2,39.3,17.5,68,75.11,34,24,241.05,1
27.7,35.6,15,79.1,80.55,31,24,219.4,0
28.3,36.8,15,60.9,77.6,32,24.9,250.67,1
28.5,38.1,18.3,65.9,75.31,33,25,254.57,0
28.9,39.3,16.1,75.1,77.74,34,26,256.91,0
28.1,35.5,18.3,80.6,80,31,26,250.91,0
28.2,39.2,16.1,66,78.68,33,26,236.35,0
28.5,39.2,13.9,57.7,76.14,34,25,243.21,0
29.3,40.6,11,58.6,75.37,34,26,222,0
29.2,40.8,21.9,77.3,76.06,36,25,229.96,0
28.2,39,16,66.4,81.6,32.9,25.9,222.56,0
28.5,40.6,13.2,62.4,78.06,33,25.9,251.22,1
29,41.9,15,67,78.71,34,26,210.06,0
28.4,39.3,17.5,71.6,79.49,34,24.4,191.84,0
27.9,40.6,10.8,60.1,81.41,33.9,24,193.44,1
28.5,37.9,9.2,60.4,79.68,32,26,181.58,0
28.4,38,9.2,59.9,80.27,33.8,25,145.07,0
28,39.2,13.9,59.4,81.08,32,24,153.06,0
27.6,39.2,7.7,67.9,85.38,32,26,203.31,0
28.5,40.6,17.2,56.7,80.53,34,24,220.73,0
28.2,38.3,8.1,58.9,77.03,34,24,231.35,0
